City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hawaiian paradise park,19.5933,-154.9731,21.6,93,100,2.06,US,1714061916
83,lompoc,34.6391,-120.4579,15.43,64,100,6.69,US,1714061918
84,ilulissat,69.2167,-51.1,3.01,70,75,2.06,GL,1714061919
85,mirnyy,62.5353,113.9611,-14.31,97,78,1.79,RU,1714061920
86,ghat,24.9647,10.1728,32.12,9,0,2.62,LY,1714061922
87,west island,-12.1568,96.8225,27.99,78,75,7.72,CC,1714061923
88,sinop,41.7711,34.8709,22.92,39,100,3.28,TR,1714061924
89,margaret river,-33.95,115.0667,13.52,57,45,4.12,AU,1714061926
90,la passe,45.5549,-0.8967,14.13,82,100,5.06,FR,1714061927
91,thompson,55.7435,-97.8558,5.09,45,100,4.63,CA,1714061928
92,nouadhibou,20.931,-17.0347,31.99,25,90,4.12,MR,1714061929
93,iwaki,37.05,140.8833,15.34,73,39,3.5,JP,1714061931
94,santarem,-2.4431,-54.7083,25.07,100,100,2.57,BR,1714061932
95,lihue,21.9789,-159.3672,22.77,84,100,7.72,US,1714061933
96,tamanrasset,22.785,5.5228,32.95,7,0,3.6,DZ,1714061936
97,tazovsky,67.4667,78.7,-2.82,88,89,1.88,RU,1714061468
98,garbahaarrey,3.3289,42.2209,26.27,80,100,5.15,SO,1714061938
99,pisco,-13.7,-76.2167,21.03,88,100,3.6,PE,1714061940
100,palembang,-2.9167,104.7458,27.05,83,40,2.57,ID,1714061941
101,bridgewater,44.3835,-64.5155,7.79,44,0,8.23,CA,1714061890
102,midvagur,62.0511,-7.1939,5.46,65,75,8.75,FO,1714061943
103,honefoss,60.168,10.2565,7.86,67,93,1.45,NO,1714061854
104,coari,-4.085,-63.1414,27.34,80,100,1.52,BR,1714061946
105,geraldton,-28.7667,114.6,19.23,63,40,2.57,AU,1714061947
106,tual,-5.6667,132.75,28.93,79,76,4.2,ID,1714061948
107,mytilene,39.11,26.5547,21.9,60,20,4.12,GR,1714061949
108,blackmans bay,-43.0167,147.3167,10.07,77,95,0.45,AU,1714061951
109,klaksvik,62.2266,-6.589,5.51,75,100,9.37,FO,1714061952
110,araguari,-18.6472,-48.1872,29.16,37,0,3.4,BR,1714061953
111,punta arenas,-53.15,-70.9167,7.06,81,0,1.54,CL,1714061685
112,pemangkat,1.1667,108.9667,27.59,78,99,1.19,ID,1714061956
113,plastun,44.7561,136.2939,7.5,91,35,1.77,RU,1714061957
114,port lincoln,-34.7333,135.8667,14.8,62,17,4.63,AU,1714061958
115,udachny,66.4167,112.4,-9.2,96,98,3.43,RU,1714061960
116,rumoi,43.9344,141.6428,8.77,95,93,5.34,JP,1714061961
117,kasimov,54.9411,41.3953,17.01,67,100,6.0,RU,1714061810
118,mount gambier,-37.8333,140.7667,12.38,62,100,2.19,AU,1714061965
119,kone,-21.0595,164.8658,20.02,94,20,0.73,NC,1714061966
120,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,81,20,8.0,RU,1714061967
121,manokwari,-0.8667,134.0833,26.93,74,39,1.41,ID,1714061968
122,sharkawshchyna,55.3713,27.4706,7.63,84,90,4.59,BY,1714061969
123,udpura,24.7167,75.9667,34.13,19,59,2.16,IN,1714061971
124,kourou,5.1552,-52.6478,31.03,62,73,3.25,GF,1714061972
125,kiunga,-6.1219,141.2906,24.23,99,99,0.89,PG,1714061973
126,celestun,20.8667,-90.4,30.34,55,0,2.24,MX,1714061974
127,tocopilla,-22.092,-70.1979,21.59,75,91,3.81,CL,1714061514
128,vorgashor,67.5833,63.95,-10.11,94,8,2.24,RU,1714061977
129,el granada,37.5027,-122.4694,15.53,82,100,6.17,US,1714061978
130,gallup,35.5281,-108.7426,14.91,23,0,4.63,US,1714061979
131,gisborne,-38.6533,178.0042,14.36,80,100,3.58,NZ,1714061980
132,longonjo,-12.9067,15.2533,25.03,50,76,1.18,AO,1714061982
133,talnakh,69.4865,88.3972,-13.77,88,81,2.72,RU,1714061983
134,turpan,42.9333,89.1667,23.36,24,65,1.81,CN,1714061984
135,tatarsk,55.219,75.9828,3.42,55,0,3.03,RU,1714061986
136,malango,-2.9627,119.9001,20.22,99,99,1.01,ID,1714061987
137,east london,-33.0153,27.9116,18.52,82,40,6.17,ZA,1714061988
138,pacific grove,36.6177,-121.9166,14.34,82,100,2.57,US,1714061989
